geography,gender,has_credit_card,is_active,card_type,age_group,age,credit_score,tenure,balance,num_products,est_salary,satisfaction_score,pts_earned,churned
France,Male,1,1,SILVER,Middle-Aged (26-45),43,619,1,125211.92,1,113410.49,5,657,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),45,656,5,127864.4,1,87107.57,2,221,0
Germany,Male,0,0,PLATINUM,Young Adults (18-25),19,725,0,75888.2,1,45613.75,2,406,0
Spain,Female,1,0,SILVER,Retirement Aged (65+),66,511,4,0.0,1,1643.11,5,549,1
France,Male,1,1,PLATINUM,Older Adults (46-64),51,614,4,40685.92,1,46775.28,4,954,0
Germany,Male,0,0,GOLD,Middle-Aged (26-45),35,742,5,136857.0,1,84509.57,4,823,0
Germany,Female,0,0,DIAMOND,Middle-Aged (26-45),27,687,9,152328.88,2,126494.82,5,769,0
Spain,Male,0,0,PLATINUM,Middle-Aged (26-45),33,555,1,56084.69,2,178798.13,5,481,0
Spain,Male,1,1,SILVER,Older Adults (46-64),56,684,8,78707.16,1,99398.36,4,903,0
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),26,603,4,109166.37,1,92840.67,3,882,0
Germany,Female,1,1,GOLD,Middle-Aged (26-45),36,751,6,169831.46,2,27758.36,5,379,0
Germany,Female,1,0,PLATINUM,Middle-Aged (26-45),34,581,1,101633.04,1,110431.51,3,469,0
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),43,735,10,123180.01,2,196673.28,3,683,0
Germany,Female,0,1,GOLD,Middle-Aged (26-45),35,661,5,150725.53,2,113656.85,1,770,0
France,Female,1,0,SILVER,Young Adults (18-25),21,675,8,98373.26,1,18203.0,5,985,0
Germany,Male,1,0,GOLD,Older Adults (46-64),58,738,2,133745.44,4,28373.86,4,725,1
France,Male,1,0,PLATINUM,Middle-Aged (26-45),29,813,6,0.0,1,33953.87,3,259,0
Spain,Female,0,1,GOLD,Middle-Aged (26-45),37,657,0,163607.18,1,44203.55,2,979,0
Germany,Female,1,1,SILVER,Young Adults (18-25),25,604,5,157780.84,2,58426.81,2,988,0
France,Male,0,1,PLATINUM,Middle-Aged (26-45),36,519,9,0.0,2,145562.4,2,833,0
France,Female,1,0,PLATINUM,Young Adults (18-25),21,735,1,178718.19,2,22388.0,1,527,0
France,Male,1,1,SILVER,Older Adults (46-64),55,664,8,0.0,2,139161.64,5,220,0
France,Female,1,1,GOLD,Middle-Aged (26-45),32,678,9,0.0,1,148210.64,4,983,0
Spain,Male,0,1,SILVER,Middle-Aged (26-45),33,757,5,77253.22,1,194239.63,3,582,0
Germany,Female,1,0,SILVER,Middle-Aged (26-45),41,416,10,122189.66,2,98301.61,3,281,0
France,Female,0,0,DIAMOND,Middle-Aged (26-45),34,665,1,96645.54,2,171413.66,3,798,0
France,Female,1,0,SILVER,Middle-Aged (26-45),32,777,2,0.0,1,136458.19,5,917,1
France,Female,0,0,DIAMOND,Middle-Aged (26-45),36,543,3,0.0,2,26019.59,2,255,0
France,Female,1,1,SILVER,Middle-Aged (26-45),34,506,4,90307.62,1,159235.29,4,511,0
France,Female,1,0,SILVER,Older Adults (46-64),46,493,4,0.0,2,1907.66,1,498,0
Spain,Female,1,1,DIAMOND,Retirement Aged (65+),75,652,10,0.0,2,114675.75,5,651,0
Spain,Male,1,0,SILVER,Young Adults (18-25),22,750,3,121681.82,1,128643.35,2,852,1
France,Male,1,0,DIAMOND,Middle-Aged (26-45),30,729,9,0.0,2,151869.35,1,807,0
France,Female,1,0,PLATINUM,Older Adults (46-64),46,646,4,0.0,3,93251.42,3,470,1
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),28,635,3,81623.67,2,156791.36,1,659,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),44,647,5,0.0,3,174205.22,3,752,1
France,Male,1,0,SILVER,Middle-Aged (26-45),45,808,7,118626.55,2,147132.46,1,559,0
France,Female,1,0,GOLD,Middle-Aged (26-45),36,524,10,0.0,2,109614.57,2,375,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),29,769,8,0.0,2,172290.61,2,411,0
Spain,Male,0,1,DIAMOND,Middle-Aged (26-45),42,730,4,0.0,2,85982.47,4,722,0
Spain,Male,0,1,GOLD,Middle-Aged (26-45),35,515,10,176273.95,1,121277.78,1,231,0
Spain,Male,0,1,DIAMOND,Middle-Aged (26-45),41,773,9,102827.44,1,64595.25,5,488,0
Germany,Male,1,1,GOLD,Middle-Aged (26-45),29,814,8,97086.4,2,197276.13,2,965,0
Spain,Male,0,0,SILVER,Young Adults (18-25),22,710,8,0.0,2,99645.04,4,289,0
France,Male,0,0,PLATINUM,Middle-Aged (26-45),34,413,9,0.0,2,6534.18,1,449,0
France,Female,1,1,SILVER,Middle-Aged (26-45),40,665,6,0.0,1,161848.03,2,651,0
France,Female,0,0,DIAMOND,Middle-Aged (26-45),44,623,6,0.0,2,167162.43,2,520,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),31,738,9,82674.15,1,41970.72,4,234,0
Spain,Male,1,0,SILVER,Middle-Aged (26-45),36,528,7,0.0,2,60536.56,5,458,0
Spain,Female,1,1,GOLD,Retirement Aged (65+),65,670,1,0.0,1,177655.68,2,915,1
Spain,Female,1,1,GOLD,Older Adults (46-64),46,622,4,107073.27,2,30984.59,3,299,1
Germany,Male,1,1,GOLD,Middle-Aged (26-45),32,582,1,88938.62,1,10054.53,4,838,0
Germany,Female,0,1,PLATINUM,Middle-Aged (26-45),36,785,2,99806.85,1,36976.52,5,786,0
Spain,Male,0,0,DIAMOND,Middle-Aged (26-45),33,605,5,150092.8,1,71862.79,3,509,0
Germany,Male,1,0,DIAMOND,Middle-Aged (26-45),35,479,9,92833.89,1,99449.86,3,328,1
Germany,Male,0,1,SILVER,Middle-Aged (26-45),30,685,3,90536.81,1,63082.88,4,347,0
Germany,Male,1,0,SILVER,Middle-Aged (26-45),39,538,7,108055.1,2,27231.26,5,534,0
France,Male,0,0,PLATINUM,Middle-Aged (26-45),42,562,2,100238.35,1,86797.41,5,709,0
Spain,Male,0,1,SILVER,Middle-Aged (26-45),36,675,9,106190.55,1,22994.32,4,749,0
Germany,Male,0,1,PLATINUM,Middle-Aged (26-45),28,721,9,154475.54,2,101300.94,5,541,1
Germany,Female,1,1,GOLD,Middle-Aged (26-45),30,628,9,132351.29,2,74169.13,2,736,0
Germany,Female,1,0,SILVER,Middle-Aged (26-45),37,668,6,167864.4,1,115638.29,4,529,0
France,Female,1,0,GOLD,Middle-Aged (26-45),41,506,1,0.0,2,31766.3,4,594,0
Germany,Female,1,0,SILVER,Middle-Aged (26-45),31,524,8,107818.63,1,199725.39,1,462,1
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),34,699,4,185173.81,2,120834.48,3,429,0
France,Male,0,0,SILVER,Middle-Aged (26-45),34,828,8,129433.34,2,38131.77,4,370,0
Spain,Male,0,0,PLATINUM,Middle-Aged (26-45),39,674,6,120193.42,1,100130.95,1,510,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),39,656,6,0.0,2,141069.88,4,638,0
Germany,Female,1,1,GOLD,Older Adults (46-64),48,684,10,126384.42,1,198129.36,1,462,0
France,Female,0,0,GOLD,Middle-Aged (26-45),28,625,3,0.0,1,183646.41,4,718,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),42,432,9,152603.45,1,110265.24,3,437,1
France,Female,0,1,DIAMOND,Older Adults (46-64),52,549,1,0.0,1,8636.05,4,485,1
Germany,Male,1,0,PLATINUM,Older Adults (46-64),56,625,0,148507.24,1,46824.08,3,410,1
France,Female,1,0,PLATINUM,Middle-Aged (26-45),41,828,7,0.0,2,171378.77,2,666,0
France,Male,1,0,GOLD,Young Adults (18-25),24,770,9,101827.07,1,167256.35,4,730,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),34,758,3,0.0,2,124226.16,2,375,0
Germany,Female,1,1,GOLD,Middle-Aged (26-45),33,795,9,130862.43,1,114935.21,5,411,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),38,687,9,122570.87,1,35608.88,4,595,0
France,Male,0,1,DIAMOND,Young Adults (18-25),25,686,1,0.0,2,16459.37,1,578,0
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),39,789,7,124828.46,2,124411.08,2,377,0
Germany,Female,1,1,GOLD,Older Adults (46-64),50,589,5,144895.05,2,34941.23,2,831,0
Germany,Female,0,1,SILVER,Middle-Aged (26-45),34,461,5,63663.93,1,167784.28,1,497,0
France,Male,0,1,PLATINUM,Middle-Aged (26-45),40,637,2,133463.1,1,93165.34,1,374,0
Spain,Female,1,0,DIAMOND,Older Adults (46-64),48,584,2,213146.2,1,75161.25,4,814,1
Spain,Female,0,1,GOLD,Middle-Aged (26-45),35,579,1,129490.36,2,8590.83,4,247,1
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),44,756,10,137452.09,1,189543.9,5,965,0
France,Male,1,1,SILVER,Middle-Aged (26-45),34,663,7,0.0,2,180427.24,3,912,0
France,Female,1,1,GOLD,Middle-Aged (26-45),43,682,5,125851.93,1,193318.33,4,462,0
Spain,Male,1,0,GOLD,Older Adults (46-64),52,793,2,0.0,1,159123.82,5,883,1
France,Female,1,0,SILVER,Middle-Aged (26-45),31,691,5,40915.55,1,126213.84,2,402,1
Spain,Female,1,1,GOLD,Young Adults (18-25),21,485,5,113157.22,1,54141.5,4,764,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),29,635,8,138296.94,2,141075.51,1,608,0
France,Male,0,0,PLATINUM,Middle-Aged (26-45),37,650,5,106967.18,1,24495.03,5,652,0
France,Male,1,0,SILVER,Middle-Aged (26-45),44,735,9,120681.63,1,74836.34,2,520,0
France,Male,0,1,GOLD,Middle-Aged (26-45),32,416,0,0.0,2,878.87,5,884,0
Spain,Female,1,0,SILVER,Middle-Aged (26-45),32,754,7,0.0,2,89520.75,1,800,0
France,Female,1,0,GOLD,Older Adults (46-64),48,535,9,0.0,1,149892.79,4,697,1
Spain,Male,1,0,SILVER,Middle-Aged (26-45),42,716,8,0.0,2,180800.42,2,427,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),37,539,2,127609.59,1,98646.22,1,620,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),43,614,6,0.0,2,109041.53,1,318,0
Spain,Male,1,0,GOLD,Older Adults (46-64),57,706,7,0.0,1,17941.16,1,701,1
France,Female,0,0,PLATINUM,Middle-Aged (26-45),33,758,7,0.0,2,82996.47,4,953,0
Spain,Female,1,1,PLATINUM,Middle-Aged (26-45),28,586,2,0.0,2,92067.35,5,635,0
France,Female,0,1,PLATINUM,Retirement Aged (65+),73,646,6,97259.25,1,104719.66,1,250,0
Germany,Female,0,0,SILVER,Middle-Aged (26-45),33,631,4,123246.7,1,112687.57,3,662,0
Spain,Female,0,1,GOLD,Young Adults (18-25),22,717,6,101060.25,1,84699.56,2,666,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),30,684,2,0.0,2,83473.82,4,699,0
France,Female,0,0,PLATINUM,Older Adults (46-64),49,800,7,108007.36,1,47125.11,3,855,0
Spain,Female,1,1,SILVER,Middle-Aged (26-45),36,721,2,0.0,2,106977.8,5,534,0
Spain,Male,1,0,PLATINUM,Middle-Aged (26-45),29,683,0,133702.89,1,55582.54,1,388,1
Germany,Male,1,1,GOLD,Middle-Aged (26-45),31,660,9,125189.75,2,139874.43,5,612,0
Germany,Female,1,0,PLATINUM,Young Adults (18-25),24,704,7,113034.22,1,162503.48,2,801,1
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),41,615,9,109013.23,1,196499.96,1,561,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),39,667,2,0.0,2,40721.24,5,308,1
Germany,Male,0,0,SILVER,Young Adults (18-25),24,682,9,57929.81,2,53134.3,5,643,0
France,Female,1,0,GOLD,Middle-Aged (26-45),29,484,4,130114.39,1,164017.89,1,249,0
Germany,Male,1,0,SILVER,Middle-Aged (26-45),27,628,5,95826.49,2,155996.96,2,818,0
Germany,Male,1,0,GOLD,Middle-Aged (26-45),44,480,10,129608.57,1,5472.7,1,775,1
France,Male,1,0,DIAMOND,Middle-Aged (26-45),30,578,4,169462.09,1,112187.11,5,872,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),40,512,5,0.0,2,146457.83,3,435,0
Spain,Female,1,1,SILVER,Middle-Aged (26-45),35,484,7,133868.21,1,27286.1,2,415,0
France,Female,1,1,DIAMOND,Middle-Aged (26-45),30,510,0,0.0,2,130553.47,2,430,0
Germany,Male,0,0,PLATINUM,Middle-Aged (26-45),36,606,5,190479.48,2,179351.89,5,929,0
Spain,Female,0,1,SILVER,Middle-Aged (26-45),40,597,8,101993.12,1,94774.12,5,681,0
Germany,Female,1,0,GOLD,Older Adults (46-64),55,754,3,161608.81,1,8080.85,4,810,1
Spain,Female,1,1,GOLD,Middle-Aged (26-45),45,850,2,122311.21,1,19482.5,5,739,0
France,Male,1,1,SILVER,Retirement Aged (65+),65,510,2,0.0,2,48071.61,1,280,0
Germany,Female,1,0,DIAMOND,Middle-Aged (26-45),45,778,1,162150.42,2,174531.27,2,250,0
France,Male,1,1,PLATINUM,Middle-Aged (26-45),42,636,2,0.0,2,55470.78,4,991,0
France,Female,1,1,GOLD,Older Adults (46-64),50,804,4,0.0,1,8546.87,2,482,1
France,Male,1,0,PLATINUM,Middle-Aged (26-45),32,514,8,0.0,2,95857.18,4,423,0
France,Female,1,0,GOLD,Middle-Aged (26-45),39,730,1,99010.67,1,194945.8,5,260,0
Spain,Female,0,1,SILVER,Middle-Aged (26-45),37,525,0,0.0,1,131521.72,5,642,0
Spain,Male,0,1,PLATINUM,Middle-Aged (26-45),30,616,5,0.0,2,196108.51,4,701,0
Germany,Female,1,0,GOLD,Middle-Aged (26-45),34,687,7,111388.18,2,148564.76,4,570,0
France,Female,0,0,GOLD,Middle-Aged (26-45),41,715,8,56214.85,2,92982.61,4,790,1
France,Female,1,0,PLATINUM,Middle-Aged (26-45),36,512,3,84327.77,2,17675.36,5,727,0
France,Male,0,0,SILVER,Middle-Aged (26-45),40,479,1,0.0,2,114996.43,3,909,0
France,Male,1,0,GOLD,Middle-Aged (26-45),32,601,8,93012.89,1,86957.42,2,799,0
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),29,580,9,61710.44,2,128077.8,1,520,0
France,Male,1,1,SILVER,Middle-Aged (26-45),35,807,3,174790.15,1,600.36,3,861,0
Spain,Female,1,1,GOLD,Middle-Aged (26-45),32,616,6,0.0,2,43001.46,5,512,0
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),37,721,3,107720.64,1,158591.12,1,478,0
France,Male,1,1,PLATINUM,Older Adults (46-64),57,501,10,0.0,2,47847.19,5,374,0
France,Male,1,0,PLATINUM,Middle-Aged (26-45),35,521,6,96423.84,1,10488.44,4,280,0
Spain,Male,1,1,DIAMOND,Middle-Aged (26-45),30,850,2,141040.01,1,5978.2,2,615,0
France,Male,0,1,GOLD,Middle-Aged (26-45),42,759,4,105420.18,1,121409.06,3,435,0
Spain,Male,0,1,GOLD,Older Adults (46-64),50,516,5,0.0,1,146145.93,5,509,1
France,Female,1,1,DIAMOND,Middle-Aged (26-45),38,711,2,129022.06,2,14374.86,4,321,1
Spain,Male,1,0,PLATINUM,Middle-Aged (26-45),33,512,3,176666.62,1,94670.77,1,726,0
France,Male,1,1,GOLD,Middle-Aged (26-45),37,550,3,0.0,1,179670.31,3,516,0
Spain,Female,0,0,PLATINUM,Middle-Aged (26-45),41,608,3,89763.84,1,199304.74,3,639,1
France,Male,1,1,SILVER,Middle-Aged (26-45),34,618,5,134954.53,1,151954.39,2,512,0
France,Male,1,0,GOLD,Middle-Aged (26-45),45,643,5,0.0,1,142513.5,3,730,1
France,Male,0,1,DIAMOND,Middle-Aged (26-45),45,671,2,106376.85,1,158264.62,3,244,0
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),33,689,2,161814.64,2,169381.9,3,292,0
France,Male,1,1,GOLD,Middle-Aged (26-45),31,603,8,0.0,2,169915.02,3,245,0
France,Female,0,0,DIAMOND,Middle-Aged (26-45),41,620,9,0.0,2,88852.47,3,848,0
France,Female,1,1,SILVER,Middle-Aged (26-45),34,676,1,63095.01,1,40645.81,3,974,0
Germany,Male,0,0,DIAMOND,Middle-Aged (26-45),26,572,4,118287.01,2,60427.3,4,958,0
Germany,Male,0,1,GOLD,Older Adults (46-64),47,668,7,106854.21,1,157959.02,3,629,1
France,Male,1,0,DIAMOND,Older Adults (46-64),46,695,7,49512.55,1,133007.34,3,310,0
Spain,Female,0,0,SILVER,Middle-Aged (26-45),33,730,9,0.0,2,176576.62,1,621,0
France,Male,1,0,DIAMOND,Middle-Aged (26-45),43,807,1,105799.32,2,34888.04,4,924,1
France,Male,1,1,PLATINUM,Older Adults (46-64),54,592,8,0.0,1,28737.71,2,359,1
France,Female,1,1,SILVER,Middle-Aged (26-45),31,726,9,114722.05,2,98178.57,5,811,0
Spain,Male,0,1,DIAMOND,Middle-Aged (26-45),30,514,7,0.0,1,125010.24,4,583,0
France,Male,1,1,SILVER,Middle-Aged (26-45),42,567,2,0.0,2,167984.61,5,959,0
France,Male,1,0,SILVER,Middle-Aged (26-45),33,850,10,0.0,1,4861.72,1,359,1
Germany,Male,1,1,PLATINUM,Middle-Aged (26-45),45,671,6,99564.22,1,108872.45,3,901,1
France,Male,1,0,GOLD,Middle-Aged (26-45),37,670,4,170557.91,2,198252.88,5,729,0
France,Female,1,1,DIAMOND,Middle-Aged (26-45),30,694,9,0.0,2,26960.31,5,829,0
Germany,Female,1,1,SILVER,Middle-Aged (26-45),39,547,6,74596.15,3,85746.52,4,790,1
Germany,Male,1,0,DIAMOND,Older Adults (46-64),50,751,2,96888.39,1,77206.25,2,756,1
Germany,Female,1,0,GOLD,Middle-Aged (26-45),29,594,3,130830.22,1,61048.53,4,873,0
France,Male,0,1,SILVER,Retirement Aged (65+),72,673,1,0.0,2,111981.19,3,865,0
France,Male,1,0,GOLD,Middle-Aged (26-45),40,610,0,0.0,2,62232.6,5,690,0
France,Female,0,1,PLATINUM,Middle-Aged (26-45),37,512,1,0.0,2,156105.03,4,722,0
Germany,Male,0,1,DIAMOND,Young Adults (18-25),20,767,3,119714.25,2,150135.38,4,535,0
France,Female,0,1,SILVER,Retirement Aged (65+),67,585,5,113978.97,2,93146.11,5,580,0
Germany,Male,1,0,GOLD,Middle-Aged (26-45),42,763,6,100160.75,1,33462.94,3,709,1
France,Female,1,1,GOLD,Middle-Aged (26-45),29,712,2,0.0,1,144375.0,4,930,0
Germany,Female,1,0,DIAMOND,Middle-Aged (26-45),43,539,3,116220.5,3,55803.96,4,264,1
France,Female,1,0,DIAMOND,Older Adults (46-64),46,668,2,0.0,3,89048.46,1,943,1
France,Male,0,1,PLATINUM,Middle-Aged (26-45),28,703,2,81173.83,2,162812.16,2,388,0
Spain,Male,1,0,GOLD,Middle-Aged (26-45),38,662,4,0.0,2,136259.65,5,248,0
Germany,Female,1,0,GOLD,Middle-Aged (26-45),39,725,5,116803.8,1,124052.97,2,763,0
France,Male,0,1,DIAMOND,Middle-Aged (26-45),37,703,8,105961.68,2,74158.8,1,619,0
Germany,Male,1,1,SILVER,Retirement Aged (65+),67,659,6,117411.6,1,45071.09,2,815,1
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),34,523,7,0.0,2,62030.06,4,566,0
France,Female,1,0,GOLD,Middle-Aged (26-45),40,635,10,123497.58,1,131953.23,5,774,1
Germany,Male,1,0,PLATINUM,Middle-Aged (26-45),26,772,7,152400.51,2,79414.0,1,695,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),26,545,1,0.0,2,199638.56,5,902,0
Germany,Male,1,1,GOLD,Young Adults (18-25),24,634,8,103097.85,1,157577.29,2,532,0
Germany,Male,1,0,DIAMOND,Older Adults (46-64),54,739,8,126418.14,1,134420.75,2,718,1
Germany,Female,0,0,PLATINUM,Middle-Aged (26-45),36,771,5,77846.9,1,99805.99,5,895,0
Spain,Female,1,1,DIAMOND,Middle-Aged (26-45),34,587,1,0.0,2,97932.68,4,749,0
France,Female,0,1,DIAMOND,Retirement Aged (65+),79,681,0,0.0,2,170968.99,5,333,0
Germany,Male,1,1,DIAMOND,Middle-Aged (26-45),37,544,2,79731.91,1,57558.95,4,866,0
Spain,Male,0,0,SILVER,Middle-Aged (26-45),28,696,8,0.0,1,176713.47,3,671,0
Spain,Male,0,1,GOLD,Middle-Aged (26-45),41,766,0,0.0,2,34283.23,4,670,0
France,Male,1,1,GOLD,Middle-Aged (26-45),34,727,10,0.0,2,198637.34,4,768,0
Germany,Female,0,0,SILVER,Middle-Aged (26-45),34,671,6,37266.67,2,156917.12,3,565,0
France,Female,1,1,SILVER,Middle-Aged (26-45),30,693,6,127992.25,1,50457.2,1,483,0
Germany,Male,1,1,GOLD,Middle-Aged (26-45),38,850,3,54901.01,1,140075.55,2,926,0
Germany,Male,1,1,DIAMOND,Middle-Aged (26-45),42,732,9,108748.08,2,65323.11,1,932,0
Spain,Female,1,0,DIAMOND,Older Adults (46-64),48,726,6,99906.19,1,64323.24,4,901,0
France,Female,1,0,GOLD,Middle-Aged (26-45),32,557,6,184686.41,2,14956.44,3,299,0
France,Female,0,1,PLATINUM,Middle-Aged (26-45),26,682,0,110654.02,1,111879.21,2,899,0
Spain,Male,1,1,PLATINUM,Middle-Aged (26-45),31,738,9,79019.8,1,18606.23,4,467,0
Spain,Female,1,0,PLATINUM,Middle-Aged (26-45),36,531,9,99240.51,1,123137.01,1,717,0
France,Male,1,1,DIAMOND,Middle-Aged (26-45),34,498,2,0.0,2,148528.24,1,549,0
France,Male,1,0,GOLD,Middle-Aged (26-45),36,651,7,0.0,2,13898.31,1,545,0
Spain,Female,0,0,GOLD,Middle-Aged (26-45),39,549,7,0.0,1,81259.25,2,716,1
Germany,Female,1,0,SILVER,Middle-Aged (26-45),35,791,7,52436.2,1,161051.75,2,650,0
